model,factor,mult,threshold,reward,clicks
BreadthFirst,2//1,3,66.0,28.68195,16.0
BreadthFirst,2//1,3,69.0,28.75386,16.0
BreadthFirst,2//1,3,72.0,28.7403,16.0
BreadthFirst,2//1,3,75.0,28.72506,16.0
BreadthFirst,2//1,3,78.0,28.73964,16.0
BreadthFirst,2//1,3,81.0,28.75647,16.0
BreadthFirst,2//1,3,84.0,28.78998,16.0
BestFirst,3//1,3,0.0,3.40518,0.94565
BestFirst,3//1,3,3.0,35.49975,5.57897
BestFirst,3//1,3,6.0,35.77626,5.60136
BestFirst,3//1,3,9.0,36.52542,5.65316
BestFirst,3//1,3,12.0,38.48064,5.82513
BestFirst,3//1,3,15.0,41.52834,6.11987
BestFirst,3//1,3,18.0,43.5063,6.34334
BestFirst,3//1,3,21.0,45.82908,6.56685
BestFirst,3//1,3,24.0,48.9186,6.91699
BestFirst,3//1,3,27.0,51.91197,7.28892
BestFirst,3//1,3,30.0,53.95503,7.59052
BestFirst,3//1,3,33.0,54.24111,7.63995
BestFirst,3//1,3,36.0,54.5382,7.67362
BestFirst,3//1,3,39.0,55.00026,7.85392
BestFirst,3//1,3,42.0,55.64736,8.11756
BestFirst,3//1,3,45.0,56.3445,8.38638
BestFirst,3//1,3,48.0,56.94459,8.67108
BestFirst,3//1,3,51.0,57.58014,8.98838
BestFirst,3//1,3,54.0,57.90402,9.58488
BestFirst,3//1,3,57.0,58.13556,10.27938
BestFirst,3//1,3,60.0,58.30539,10.52197
BestFirst,3//1,3,63.0,58.33119,10.74954
BestFirst,3//1,3,66.0,58.40661,11.20958
BestFirst,3//1,3,69.0,58.52799,11.76691
BestFirst,3//1,3,72.0,58.6197,12.35681
BestFirst,3//1,3,75.0,58.58022,13.08748
BestFirst,3//1,3,78.0,58.54641,13.78421
BestFirst,3//1,3,81.0,58.5903,14.46166
BestFirst,3//1,3,84.0,58.47273,15.0465
BestFirst,3//1,3,87.0,58.55904,15.31834
BestFirst,3//1,3,90.0,58.58973,15.51001
BestFirst,3//1,3,93.0,58.55613,15.75168
BestFirst,3//1,3,96.0,58.6425,15.85936
BestFirst,3//1,3,99.0,58.63518,15.90962
BestFirst,3//1,3,102.0,58.54479,15.97491
BestFirst,3//1,3,105.0,58.4988,16.0
BestFirst,3//1,3,108.0,58.51752,16.0
BestFirst,3//1,3,111.0,58.57668,16.0
BestFirst,3//1,3,114.0,58.581,16.0
BestFirst,3//1,3,117.0,58.56192,16.0
BestFirst,3//1,3,120.0,58.66695,16.0
BestFirst,3//1,3,123.0,58.65864,16.0
BestFirst,3//1,3,126.0,58.72275,16.0
BestFirst,3//1,3,129.0,58.56384,16.0
BestFirst,3//1,3,132.0,58.62984,16.0
BestFirst,3//1,3,135.0,58.58703,16.0
BestFirst,3//1,3,138.0,58.5402,16.0
BestFirst,3//1,3,141.0,58.54596,16.0
BestFirst,3//1,3,144.0,58.57887,16.0
BestFirst,3//1,3,147.0,58.5711,16.0
BestFirst,3//1,3,150.0,58.49094,16.0
BestFirst,3//1,3,153.0,58.61022,16.0
BestFirst,3//1,3,156.0,58.63767,16.0
DepthFirst,3//1,3,0.0,4.62216,0.90078
DepthFirst,3//1,3,3.0,31.61244,3.78298
DepthFirst,3//1,3,6.0,33.68001,4.006
DepthFirst,3//1,3,9.0,35.03394,4.16235
DepthFirst,3//1,3,12.0,36.69042,4.34592
DepthFirst,3//1,3,15.0,40.91079,4.88111
DepthFirst,3//1,3,18.0,43.70484,5.22932
DepthFirst,3//1,3,21.0,44.5737,5.36637
DepthFirst,3//1,3,24.0,46.5354,5.68068
DepthFirst,3//1,3,27.0,48.53295,5.99753
DepthFirst,3//1,3,30.0,49.59864,6.21835
DepthFirst,3//1,3,33.0,50.81805,6.63529
DepthFirst,3//1,3,36.0,51.88266,6.98304
DepthFirst,3//1,3,39.0,52.34193,7.24459
DepthFirst,3//1,3,42.0,54.38163,8.27315
DepthFirst,3//1,3,45.0,55.95366,9.23833
DepthFirst,3//1,3,48.0,56.32032,9.45773
DepthFirst,3//1,3,51.0,57.17646,10.16417
DepthFirst,3//1,3,54.0,57.55944,10.98037
DepthFirst,3//1,3,57.0,57.82461,11.34936
DepthFirst,3//1,3,60.0,58.08285,11.82111
DepthFirst,3//1,3,63.0,58.26912,12.20523
DepthFirst,3//1,3,66.0,58.30902,12.51048
DepthFirst,3//1,3,69.0,58.56957,13.45693
DepthFirst,3//1,3,72.0,58.59003,14.27823
DepthFirst,3//1,3,75.0,58.56375,14.56402
DepthFirst,3//1,3,78.0,58.57635,15.12106
DepthFirst,3//1,3,81.0,58.64241,15.62294
DepthFirst,3//1,3,84.0,58.59441,15.76444
DepthFirst,3//1,3,87.0,58.58151,15.83176
DepthFirst,3//1,3,90.0,58.6041,15.87849
DepthFirst,3//1,3,93.0,58.62876,15.93739
DepthFirst,3//1,3,96.0,58.68621,15.96445
DepthFirst,3//1,3,99.0,58.64709,15.97709
DepthFirst,3//1,3,102.0,58.54872,15.99362
DepthFirst,3//1,3,105.0,58.53459,16.0
