model,factor,mult,threshold,reward,clicks
BestFirst,1//3,1,27.0,16.40353,12.37163
BestFirst,1//3,1,28.0,16.36638,12.42543
BestFirst,1//3,1,29.0,16.40264,12.59907
BestFirst,1//3,1,30.0,16.39652,12.78209
BestFirst,1//3,1,31.0,16.38541,12.89266
BestFirst,1//3,1,32.0,16.43102,13.29829
BestFirst,1//3,1,33.0,16.39195,13.6219
BestFirst,1//3,1,34.0,16.39182,13.76761
BestFirst,1//3,1,35.0,16.35473,14.19706
BestFirst,1//3,1,36.0,16.39685,14.52689
BestFirst,1//3,1,37.0,16.38737,14.5574
BestFirst,1//3,1,38.0,16.38547,14.74578
BestFirst,1//3,1,39.0,16.40975,14.9199
BestFirst,1//3,1,40.0,16.37181,14.99991
BestFirst,1//3,1,41.0,16.39108,15.23139
BestFirst,1//3,1,42.0,16.364,15.42209
BestFirst,1//3,1,43.0,16.37428,15.47583
BestFirst,1//3,1,44.0,16.39419,15.65173
BestFirst,1//3,1,45.0,16.37093,15.78728
BestFirst,1//3,1,46.0,16.38631,15.80587
BestFirst,1//3,1,47.0,16.36191,15.87271
BestFirst,1//3,1,48.0,16.38339,15.93024
BestFirst,1//3,1,49.0,16.41341,15.94426
BestFirst,1//3,1,50.0,16.38048,15.97535
BestFirst,1//3,1,51.0,16.39971,16.0
BestFirst,1//3,1,52.0,16.40526,16.0
DepthFirst,1//3,1,0.0,3.50127,0.93251
DepthFirst,1//3,1,1.0,13.03372,6.63224
DepthFirst,1//3,1,2.0,13.23178,7.16714
DepthFirst,1//3,1,3.0,13.43198,7.48943
DepthFirst,1//3,1,4.0,13.47817,7.58636
DepthFirst,1//3,1,5.0,13.94624,7.87836
DepthFirst,1//3,1,6.0,14.30641,8.21028
DepthFirst,1//3,1,7.0,14.41199,8.25852
DepthFirst,1//3,1,8.0,14.64895,8.54569
DepthFirst,1//3,1,9.0,14.86059,8.78249
DepthFirst,1//3,1,10.0,14.93494,8.80136
DepthFirst,1//3,1,11.0,15.02276,8.95354
DepthFirst,1//3,1,12.0,15.13841,9.21281
DepthFirst,1//3,1,13.0,15.27273,9.36555
DepthFirst,1//3,1,14.0,15.61059,10.11261
DepthFirst,1//3,1,15.0,15.94871,10.94054
DepthFirst,1//3,1,16.0,15.95027,11.10335
DepthFirst,1//3,1,17.0,16.17306,11.81268
DepthFirst,1//3,1,18.0,16.34127,12.48098
DepthFirst,1//3,1,19.0,16.2709,12.51566
DepthFirst,1//3,1,20.0,16.30052,12.64049
DepthFirst,1//3,1,21.0,16.35416,12.77873
DepthFirst,1//3,1,22.0,16.31974,12.93685
DepthFirst,1//3,1,23.0,16.37387,13.47384
DepthFirst,1//3,1,24.0,16.36476,14.03715
DepthFirst,1//3,1,25.0,16.3738,14.1627
DepthFirst,1//3,1,26.0,16.41767,14.65125
DepthFirst,1//3,1,27.0,16.41217,15.09944
DepthFirst,1//3,1,28.0,16.33369,15.10267
DepthFirst,1//3,1,29.0,16.36592,15.1532
DepthFirst,1//3,1,30.0,16.36124,15.19745
DepthFirst,1//3,1,31.0,16.33908,15.23498
DepthFirst,1//3,1,32.0,16.34191,15.33336
DepthFirst,1//3,1,33.0,16.35249,15.40348
DepthFirst,1//3,1,34.0,16.41374,15.44816
DepthFirst,1//3,1,35.0,16.39446,15.55809
DepthFirst,1//3,1,36.0,16.37608,15.62989
DepthFirst,1//3,1,37.0,16.38421,15.63809
DepthFirst,1//3,1,38.0,16.3656,15.69038
DepthFirst,1//3,1,39.0,16.40873,15.73036
DepthFirst,1//3,1,40.0,16.41511,15.755
DepthFirst,1//3,1,41.0,16.38362,15.8121
DepthFirst,1//3,1,42.0,16.40017,15.85527
DepthFirst,1//3,1,43.0,16.36649,15.8723
DepthFirst,1//3,1,44.0,16.38086,15.91621
DepthFirst,1//3,1,45.0,16.36944,15.94558
DepthFirst,1//3,1,46.0,16.42739,15.95435
DepthFirst,1//3,1,47.0,16.39923,15.96928
DepthFirst,1//3,1,48.0,16.36224,15.98392
DepthFirst,1//3,1,49.0,16.38062,15.98543
DepthFirst,1//3,1,50.0,16.39192,15.99346
DepthFirst,1//3,1,51.0,16.38883,16.0
DepthFirst,1//3,1,52.0,16.39478,16.0
BreadthFirst,1//3,1,0.0,4.74846,0.99825
BreadthFirst,1//3,1,1.0,16.29423,11.41639
BreadthFirst,1//3,1,2.0,16.38404,12.99663
BreadthFirst,1//3,1,3.0,16.31475,14.27062
BreadthFirst,1//3,1,4.0,16.42855,14.29846
BreadthFirst,1//3,1,5.0,16.32558,14.38435
BreadthFirst,1//3,1,6.0,16.35573,14.46982
BreadthFirst,1//3,1,7.0,16.37764,14.49277
BreadthFirst,1//3,1,8.0,16.34535,14.57521
BreadthFirst,1//3,1,9.0,16.38511,14.66107
BreadthFirst,1//3,1,10.0,16.40113,14.69734
BreadthFirst,1//3,1,11.0,16.38905,14.82289
BreadthFirst,1//3,1,12.0,16.40157,14.93914
BreadthFirst,1//3,1,13.0,16.41095,14.96247
BreadthFirst,1//3,1,14.0,16.43175,15.01755
BreadthFirst,1//3,1,15.0,16.35461,15.06978
BreadthFirst,1//3,1,16.0,16.435,15.08198
BreadthFirst,1//3,1,17.0,16.37209,15.13309
BreadthFirst,1//3,1,18.0,16.34934,15.18173
BreadthFirst,1//3,1,19.0,16.35826,15.20372
BreadthFirst,1//3,1,20.0,16.40255,15.27228
BreadthFirst,1//3,1,21.0,16.37612,15.33252
BreadthFirst,1//3,1,22.0,16.40282,15.34955
BreadthFirst,1//3,1,23.0,16.41684,15.38545
BreadthFirst,1//3,1,24.0,16.37551,15.42185
BreadthFirst,1//3,1,25.0,16.4041,15.43512
BreadthFirst,1//3,1,26.0,16.35536,15.47979
BreadthFirst,1//3,1,27.0,16.39321,15.52954
BreadthFirst,1//3,1,28.0,16.40883,15.53979
BreadthFirst,1//3,1,29.0,16.37449,15.61392
BreadthFirst,1//3,1,30.0,16.35934,15.66725
BreadthFirst,1//3,1,31.0,16.38423,15.68103
BreadthFirst,1//3,1,32.0,16.39973,15.71531
BreadthFirst,1//3,1,33.0,16.39954,15.74664
BreadthFirst,1//3,1,34.0,16.43514,15.75483
BreadthFirst,1//3,1,35.0,16.42355,15.7832
BreadthFirst,1//3,1,36.0,16.3963,15.8102
BreadthFirst,1//3,1,37.0,16.35853,15.82893
BreadthFirst,1//3,1,38.0,16.39804,15.87232
BreadthFirst,1//3,1,39.0,16.36614,15.90739
BreadthFirst,1//3,1,40.0,16.39017,15.91225
BreadthFirst,1//3,1,41.0,16.38633,15.93659
BreadthFirst,1//3,1,42.0,16.38043,15.95108
BreadthFirst,1//3,1,43.0,16.36027,15.95429
BreadthFirst,1//3,1,44.0,16.4108,15.95896
BreadthFirst,1//3,1,45.0,16.39167,15.96798
BreadthFirst,1//3,1,46.0,16.38358,15.97163
BreadthFirst,1//3,1,47.0,16.42257,15.98197
BreadthFirst,1//3,1,48.0,16.40889,15.99028
BreadthFirst,1//3,1,49.0,16.40127,15.99177
BreadthFirst,1//3,1,50.0,16.3738,15.99705
BreadthFirst,1//3,1,51.0,16.3798,16.0
BreadthFirst,1//3,1,52.0,16.40385,16.0
BestFirst,2//1,1,0.0,0.82349,0.95093
BestFirst,2//1,1,1.0,6.48376,5.39415
BestFirst,2//1,1,2.0,6.67848,5.47291
BestFirst,2//1,1,3.0,6.9591,5.64516
BestFirst,2//1,1,4.0,7.7649,6.31821
BestFirst,2//1,1,5.0,8.64191,7.12248
BestFirst,2//1,1,6.0,8.93727,7.41242
BestFirst,2//1,1,7.0,9.11311,7.69421
BestFirst,2//1,1,8.0,9.23588,8.33751
BestFirst,2//1,1,9.0,9.38441,9.2653
BestFirst,2//1,1,10.0,9.48441,10.05647
BestFirst,2//1,1,11.0,9.54609,10.88919
BestFirst,2//1,1,12.0,9.58699,11.79268
BestFirst,2//1,1,13.0,9.58554,12.79953
BestFirst,2//1,1,14.0,9.59464,13.84866
BestFirst,2//1,1,15.0,9.56906,14.74321
BestFirst,2//1,1,16.0,9.58165,15.2831
BestFirst,2//1,1,17.0,9.6018,15.62859
BestFirst,2//1,1,18.0,9.59444,15.8092
BestFirst,2//1,1,19.0,9.60814,15.90863
BestFirst,2//1,1,20.0,9.5717,15.97472
BestFirst,2//1,1,21.0,9.57607,16.0
BestFirst,2//1,1,22.0,9.55817,16.0
BestFirst,2//1,1,23.0,9.60399,16.0
BestFirst,2//1,1,24.0,9.57691,16.0
BestFirst,2//1,1,25.0,9.59367,16.0
BestFirst,2//1,1,26.0,9.58019,16.0
BestFirst,2//1,1,27.0,9.57911,16.0
BestFirst,2//1,1,28.0,9.598,16.0
DepthFirst,2//1,1,0.0,0.89284,0.90479
DepthFirst,2//1,1,1.0,5.53585,4.26903
DepthFirst,2//1,1,2.0,6.01995,4.65157
DepthFirst,2//1,1,3.0,6.61935,5.24822
DepthFirst,2//1,1,4.0,7.43212,6.11677
DepthFirst,2//1,1,5.0,8.17188,7.12156
DepthFirst,2//1,1,6.0,8.61824,8.02325
DepthFirst,2//1,1,7.0,8.91525,8.7134
DepthFirst,2//1,1,8.0,9.14114,9.82651
DepthFirst,2//1,1,9.0,9.37098,11.09923
DepthFirst,2//1,1,10.0,9.46143,11.93167
DepthFirst,2//1,1,11.0,9.52473,12.88038
DepthFirst,2//1,1,12.0,9.56406,13.83932
DepthFirst,2//1,1,13.0,9.5707,14.50858
DepthFirst,2//1,1,14.0,9.59963,15.14873
DepthFirst,2//1,1,15.0,9.5661,15.6986
DepthFirst,2//1,1,16.0,9.57575,15.82717
DepthFirst,2//1,1,17.0,9.58973,15.90723
DepthFirst,2//1,1,18.0,9.60042,15.95261
DepthFirst,2//1,1,19.0,9.60009,15.97809
DepthFirst,2//1,1,20.0,9.57673,15.99397
DepthFirst,2//1,1,21.0,9.56452,16.0
DepthFirst,2//1,1,22.0,9.60201,16.0
DepthFirst,2//1,1,23.0,9.57286,16.0
DepthFirst,2//1,1,24.0,9.57107,16.0
DepthFirst,2//1,1,25.0,9.60402,16.0
DepthFirst,2//1,1,26.0,9.57218,16.0
DepthFirst,2//1,1,27.0,9.58799,16.0
DepthFirst,2//1,1,28.0,9.59587,16.0
BreadthFirst,2//1,1,0.0,0.55808,0.99269
BreadthFirst,2//1,1,1.0,7.32351,10.27141
BreadthFirst,2//1,1,2.0,7.82787,10.64925
BreadthFirst,2//1,1,3.0,8.34741,11.06776
BreadthFirst,2//1,1,4.0,8.78439,11.68378
BreadthFirst,2//1,1,5.0,9.29943,12.60283
BreadthFirst,2//1,1,6.0,9.44599,12.98343
BreadthFirst,2//1,1,7.0,9.53793,13.3536
BreadthFirst,2//1,1,8.0,9.58161,13.94089
BreadthFirst,2//1,1,9.0,9.57655,14.92833
BreadthFirst,2//1,1,10.0,9.59019,15.14045
BreadthFirst,2//1,1,11.0,9.58489,15.33651
BreadthFirst,2//1,1,12.0,9.58754,15.50415
BreadthFirst,2//1,1,13.0,9.60012,15.63046
BreadthFirst,2//1,1,14.0,9.59447,15.74804
BreadthFirst,2//1,1,15.0,9.5979,15.83079
BreadthFirst,2//1,1,16.0,9.59237,15.89355
BreadthFirst,2//1,1,17.0,9.57006,15.94088
BreadthFirst,2//1,1,18.0,9.57532,15.97082
BreadthFirst,2//1,1,19.0,9.57843,15.98736
BreadthFirst,2//1,1,20.0,9.59348,15.99671
BreadthFirst,2//1,1,21.0,9.57975,16.0
BreadthFirst,2//1,1,22.0,9.58982,16.0
BreadthFirst,2//1,1,23.0,9.57154,16.0
BreadthFirst,2//1,1,24.0,9.58421,16.0
BreadthFirst,2//1,1,25.0,9.58812,16.0
BreadthFirst,2//1,1,26.0,9.5965,16.0
BreadthFirst,2//1,1,27.0,9.59182,16.0
BreadthFirst,2//1,1,28.0,9.58498,16.0
BestFirst,3//1,1,0.0,1.12447,0.95138
BestFirst,3//1,1,1.0,11.78132,5.57457
BestFirst,3//1,1,2.0,11.98155,5.59902
BestFirst,3//1,1,3.0,12.19325,5.65391
BestFirst,3//1,1,4.0,12.84739,5.83962
BestFirst,3//1,1,5.0,13.7878,6.11198
BestFirst,3//1,1,6.0,14.54988,6.34086
BestFirst,3//1,1,7.0,15.31386,6.57269
BestFirst,3//1,1,8.0,16.33089,6.90209
BestFirst,3//1,1,9.0,17.33721,7.29779
BestFirst,3//1,1,10.0,17.96348,7.58256
BestFirst,3//1,1,11.0,18.13263,7.61657
BestFirst,3//1,1,12.0,18.16673,7.67994
BestFirst,3//1,1,13.0,18.34935,7.84672
BestFirst,3//1,1,14.0,18.57723,8.10996
BestFirst,3//1,1,15.0,18.80521,8.37586
BestFirst,3//1,1,16.0,18.96521,8.67364
BestFirst,3//1,1,17.0,19.15419,9.01968
BestFirst,3//1,1,18.0,19.29677,9.5876
BestFirst,3//1,1,19.0,19.41318,10.25886
BestFirst,3//1,1,20.0,19.47029,10.50552
BestFirst,3//1,1,21.0,19.41696,10.76074
BestFirst,3//1,1,22.0,19.49488,11.19472
BestFirst,3//1,1,23.0,19.47908,11.77979
BestFirst,3//1,1,24.0,19.53493,12.37047
BestFirst,3//1,1,25.0,19.54416,13.07656
BestFirst,3//1,1,26.0,19.53622,13.77625
BestFirst,3//1,1,27.0,19.53204,14.46509
BestFirst,3//1,1,28.0,19.53523,15.04767
BestFirst,3//1,1,29.0,19.53336,15.32059
BestFirst,3//1,1,30.0,19.5234,15.51374
BestFirst,3//1,1,31.0,19.5353,15.74911
BestFirst,3//1,1,32.0,19.5538,15.85683
BestFirst,3//1,1,33.0,19.55141,15.91033
BestFirst,3//1,1,34.0,19.53003,15.97508
BestFirst,3//1,1,35.0,19.51766,16.0
BestFirst,3//1,1,36.0,19.53959,16.0
BestFirst,3//1,1,37.0,19.56744,16.0
BestFirst,3//1,1,38.0,19.52844,16.0
BestFirst,3//1,1,39.0,19.52174,16.0
BestFirst,3//1,1,40.0,19.55093,16.0
BestFirst,3//1,1,41.0,19.54739,16.0
BestFirst,3//1,1,42.0,19.51117,16.0
BestFirst,3//1,1,43.0,19.53299,16.0
BestFirst,3//1,1,44.0,19.51184,16.0
BestFirst,3//1,1,45.0,19.5357,16.0
BestFirst,3//1,1,46.0,19.55021,16.0
BestFirst,3//1,1,47.0,19.52706,16.0
BestFirst,3//1,1,48.0,19.5159,16.0
BestFirst,3//1,1,49.0,19.51396,16.0
BestFirst,3//1,1,50.0,19.5104,16.0
BestFirst,3//1,1,51.0,19.52895,16.0
BestFirst,3//1,1,52.0,19.55181,16.0
DepthFirst,3//1,1,0.0,1.52743,0.89388
DepthFirst,3//1,1,1.0,10.51712,3.78195
DepthFirst,3//1,1,2.0,11.19433,4.01737
DepthFirst,3//1,1,3.0,11.67798,4.15842
DepthFirst,3//1,1,4.0,12.22198,4.33594
DepthFirst,3//1,1,5.0,13.63887,4.88398
DepthFirst,3//1,1,6.0,14.49039,5.25288
DepthFirst,3//1,1,7.0,14.82898,5.35175
DepthFirst,3//1,1,8.0,15.51767,5.68691
DepthFirst,3//1,1,9.0,16.16866,5.99651
DepthFirst,3//1,1,10.0,16.52591,6.23441
DepthFirst,3//1,1,11.0,16.94483,6.63051
DepthFirst,3//1,1,12.0,17.25868,7.00637
DepthFirst,3//1,1,13.0,17.44377,7.25941
DepthFirst,3//1,1,14.0,18.12393,8.28205
DepthFirst,3//1,1,15.0,18.63503,9.20839
DepthFirst,3//1,1,16.0,18.79242,9.4759
DepthFirst,3//1,1,17.0,19.05644,10.1591
DepthFirst,3//1,1,18.0,19.22014,10.96574
DepthFirst,3//1,1,19.0,19.26355,11.35849
DepthFirst,3//1,1,20.0,19.36465,11.8285
DepthFirst,3//1,1,21.0,19.39373,12.22305
DepthFirst,3//1,1,22.0,19.43097,12.51745
DepthFirst,3//1,1,23.0,19.51874,13.45119
DepthFirst,3//1,1,24.0,19.5199,14.3042
DepthFirst,3//1,1,25.0,19.53898,14.55313
DepthFirst,3//1,1,26.0,19.52191,15.12862
DepthFirst,3//1,1,27.0,19.54254,15.62984
DepthFirst,3//1,1,28.0,19.55141,15.76437
DepthFirst,3//1,1,29.0,19.52931,15.83135
DepthFirst,3//1,1,30.0,19.5291,15.87937
DepthFirst,3//1,1,31.0,19.53206,15.93578
DepthFirst,3//1,1,32.0,19.52267,15.96379
DepthFirst,3//1,1,33.0,19.52295,15.97626
DepthFirst,3//1,1,34.0,19.53045,15.99428
DepthFirst,3//1,1,35.0,19.54548,16.0
DepthFirst,3//1,1,36.0,19.54519,16.0
DepthFirst,3//1,1,37.0,19.54077,16.0
DepthFirst,3//1,1,38.0,19.53838,16.0
DepthFirst,3//1,1,39.0,19.52518,16.0
DepthFirst,3//1,1,40.0,19.5423,16.0
DepthFirst,3//1,1,41.0,19.55704,16.0
DepthFirst,3//1,1,42.0,19.52354,16.0
DepthFirst,3//1,1,43.0,19.51755,16.0
DepthFirst,3//1,1,44.0,19.53788,16.0
DepthFirst,3//1,1,45.0,19.49761,16.0
DepthFirst,3//1,1,46.0,19.54565,16.0
DepthFirst,3//1,1,47.0,19.5057,16.0
DepthFirst,3//1,1,48.0,19.55997,16.0
DepthFirst,3//1,1,49.0,19.5631,16.0
DepthFirst,3//1,1,50.0,19.50584,16.0
DepthFirst,3//1,1,51.0,19.5301,16.0
DepthFirst,3//1,1,52.0,19.53889,16.0
BreadthFirst,3//1,1,0.0,0.60477,1.00194
BreadthFirst,3//1,1,1.0,13.57997,9.90153
BreadthFirst,3//1,1,2.0,14.06517,10.01467
BreadthFirst,3//1,1,3.0,14.61251,10.15928
BreadthFirst,3//1,1,4.0,15.24786,10.33384
BreadthFirst,3//1,1,5.0,15.62968,10.44314
BreadthFirst,3//1,1,6.0,16.12539,10.6499
BreadthFirst,3//1,1,7.0,16.76043,10.89396
BreadthFirst,3//1,1,8.0,17.07732,11.05985
BreadthFirst,3//1,1,9.0,17.69984,11.45077
BreadthFirst,3//1,1,10.0,18.62713,12.13519
BreadthFirst,3//1,1,11.0,18.80378,12.29192
BreadthFirst,3//1,1,12.0,18.97946,12.46163
BreadthFirst,3//1,1,13.0,19.20063,12.69245
BreadthFirst,3//1,1,14.0,19.23573,12.8352
BreadthFirst,3//1,1,15.0,19.35543,13.05445
BreadthFirst,3//1,1,16.0,19.47135,13.37101
BreadthFirst,3//1,1,17.0,19.49775,13.53695
BreadthFirst,3//1,1,18.0,19.54937,14.02574
BreadthFirst,3//1,1,19.0,19.56892,14.99661
BreadthFirst,3//1,1,20.0,19.5436,15.11792
BreadthFirst,3//1,1,21.0,19.56989,15.25316
BreadthFirst,3//1,1,22.0,19.55844,15.41198
BreadthFirst,3//1,1,23.0,19.55256,15.49655
BreadthFirst,3//1,1,24.0,19.53014,15.56882
BreadthFirst,3//1,1,25.0,19.52625,15.65071
BreadthFirst,3//1,1,26.0,19.53509,15.7036
BreadthFirst,3//1,1,27.0,19.54177,15.76515
BreadthFirst,3//1,1,28.0,19.5469,15.843
BreadthFirst,3//1,1,29.0,19.54657,15.8766
BreadthFirst,3//1,1,30.0,19.51947,15.91794
BreadthFirst,3//1,1,31.0,19.535,15.96073
BreadthFirst,3//1,1,32.0,19.53909,15.97823
BreadthFirst,3//1,1,33.0,19.54214,15.98734
BreadthFirst,3//1,1,34.0,19.52046,15.99708
BreadthFirst,3//1,1,35.0,19.52426,16.0
BreadthFirst,3//1,1,36.0,19.54155,16.0
BreadthFirst,3//1,1,37.0,19.54657,16.0
BreadthFirst,3//1,1,38.0,19.51461,16.0
BreadthFirst,3//1,1,39.0,19.53956,16.0
BreadthFirst,3//1,1,40.0,19.53762,16.0
BreadthFirst,3//1,1,41.0,19.52083,16.0
BreadthFirst,3//1,1,42.0,19.52932,16.0
BreadthFirst,3//1,1,43.0,19.55264,16.0
BreadthFirst,3//1,1,44.0,19.54764,16.0
BreadthFirst,3//1,1,45.0,19.52159,16.0
BreadthFirst,3//1,1,46.0,19.54763,16.0
BreadthFirst,3//1,1,47.0,19.54007,16.0
BreadthFirst,3//1,1,48.0,19.51324,16.0
BreadthFirst,3//1,1,49.0,19.51743,16.0
BreadthFirst,3//1,1,50.0,19.56834,16.0
BreadthFirst,3//1,1,51.0,19.52469,16.0
BreadthFirst,3//1,1,52.0,19.53342,16.0
BestFirst,1//2,2,0.0,4.06742,0.91639
BestFirst,1//2,2,2.0,13.4378,4.39674
BestFirst,1//2,2,4.0,13.91214,5.07667
BestFirst,1//2,2,6.0,14.3477,5.59073
BestFirst,1//2,2,8.0,14.79512,5.92844
BestFirst,1//2,2,10.0,15.26,6.32901
BestFirst,1//2,2,12.0,15.66082,6.83003
BestFirst,1//2,2,14.0,15.91564,7.34712
BestFirst,1//2,2,16.0,16.2852,8.09182
BestFirst,1//2,2,18.0,16.46144,8.88583
BestFirst,1//2,2,20.0,16.57512,9.51775
BestFirst,1//2,2,22.0,16.62198,10.23908
BestFirst,1//2,2,24.0,16.66886,10.98501
BestFirst,1//2,2,26.0,16.69722,11.71985
BestFirst,1//2,2,28.0,16.6719,12.40811
BestFirst,1//2,2,30.0,16.69676,13.07094
BestFirst,1//2,2,32.0,16.71756,13.53741
BestFirst,1//2,2,34.0,16.7266,13.99354
BestFirst,1//2,2,36.0,16.6876,14.42974
BestFirst,1//2,2,38.0,16.6768,14.82315
BestFirst,1//2,2,40.0,16.654,15.11789
BestFirst,1//2,2,42.0,16.7215,15.39085
BestFirst,1//2,2,44.0,16.69674,15.62039
BestFirst,1//2,2,46.0,16.65866,15.81638
BestFirst,1//2,2,48.0,16.66282,15.88417
BestFirst,1//2,2,50.0,16.69524,15.94388
BestFirst,1//2,2,52.0,16.71982,15.97428
BestFirst,1//2,2,54.0,16.66528,16.0
BestFirst,1//2,2,56.0,16.75978,16.0
DepthFirst,1//2,2,0.0,3.20368,0.93302
DepthFirst,1//2,2,2.0,12.4605,6.44144
DepthFirst,1//2,2,4.0,13.48824,7.41787
DepthFirst,1//2,2,6.0,14.37434,8.31239
DepthFirst,1//2,2,8.0,14.8124,8.72753
DepthFirst,1//2,2,10.0,15.2047,9.198
DepthFirst,1//2,2,12.0,15.59546,9.71898
DepthFirst,1//2,2,14.0,15.88432,10.2794
DepthFirst,1//2,2,16.0,16.18294,11.09739
DepthFirst,1//2,2,18.0,16.47154,11.92968
DepthFirst,1//2,2,20.0,16.52942,12.51972
DepthFirst,1//2,2,22.0,16.65412,13.10266
DepthFirst,1//2,2,24.0,16.66394,13.73639
DepthFirst,1//2,2,26.0,16.69406,14.27892
DepthFirst,1//2,2,28.0,16.70806,14.7729
DepthFirst,1//2,2,30.0,16.71754,15.27426
DepthFirst,1//2,2,32.0,16.71724,15.39038
DepthFirst,1//2,2,34.0,16.64744,15.50739
DepthFirst,1//2,2,36.0,16.68716,15.6122
DepthFirst,1//2,2,38.0,16.67098,15.70896
DepthFirst,1//2,2,40.0,16.66054,15.78449
DepthFirst,1//2,2,42.0,16.73012,15.84988
DepthFirst,1//2,2,44.0,16.7615,15.90747
DepthFirst,1//2,2,46.0,16.70772,15.95441
DepthFirst,1//2,2,48.0,16.70972,15.97046
DepthFirst,1//2,2,50.0,16.69918,15.98537
DepthFirst,1//2,2,52.0,16.7119,15.99386
DepthFirst,1//2,2,54.0,16.74252,16.0
DepthFirst,1//2,2,56.0,16.7279,16.0
BreadthFirst,1//2,2,0.0,4.22436,0.99709
BreadthFirst,1//2,2,2.0,16.44584,11.46184
BreadthFirst,1//2,2,4.0,16.65986,13.05219
BreadthFirst,1//2,2,6.0,16.71428,14.33525
BreadthFirst,1//2,2,8.0,16.7371,14.4893
BreadthFirst,1//2,2,10.0,16.71224,14.64106
BreadthFirst,1//2,2,12.0,16.66234,14.77962
BreadthFirst,1//2,2,14.0,16.69616,14.92343
BreadthFirst,1//2,2,16.0,16.68504,15.06587
BreadthFirst,1//2,2,18.0,16.70228,15.18022
BreadthFirst,1//2,2,20.0,16.68138,15.27979
BreadthFirst,1//2,2,22.0,16.65722,15.37183
BreadthFirst,1//2,2,24.0,16.70934,15.46305
BreadthFirst,1//2,2,26.0,16.71138,15.54142
BreadthFirst,1//2,2,28.0,16.67726,15.612
BreadthFirst,1//2,2,30.0,16.67928,15.68718
BreadthFirst,1//2,2,32.0,16.72536,15.74192
BreadthFirst,1//2,2,34.0,16.6999,15.78902
BreadthFirst,1//2,2,36.0,16.75632,15.83345
BreadthFirst,1//2,2,38.0,16.72316,15.87249
BreadthFirst,1//2,2,40.0,16.64954,15.90994
BreadthFirst,1//2,2,42.0,16.67478,15.93982
BreadthFirst,1//2,2,44.0,16.67128,15.9586
BreadthFirst,1//2,2,46.0,16.6988,15.97286
BreadthFirst,1//2,2,48.0,16.70052,15.98405
BreadthFirst,1//2,2,50.0,16.72444,15.99153
BreadthFirst,1//2,2,52.0,16.72126,15.99706
BreadthFirst,1//2,2,54.0,16.69678,16.0
BreadthFirst,1//2,2,56.0,16.71504,16.0
BestFirst,1//3,2,0.0,9.02896,0.91919
BestFirst,1//3,2,2.0,26.02382,4.16236
BestFirst,1//3,2,4.0,26.42192,4.70497
BestFirst,1//3,2,6.0,26.76034,5.03573
BestFirst,1//3,2,8.0,27.04858,5.11563
BestFirst,1//3,2,10.0,27.90718,5.38039
BestFirst,1//3,2,12.0,28.6344,5.59267
BestFirst,1//3,2,14.0,28.90872,5.66668
BestFirst,1//3,2,16.0,29.35182,5.91078
BestFirst,1//3,2,18.0,29.65442,6.10961
BestFirst,1//3,2,20.0,29.79798,6.12561
BestFirst,1//3,2,22.0,30.11916,6.28134
BestFirst,1//3,2,24.0,30.45038,6.45063
BestFirst,1//3,2,26.0,30.46956,6.64186
BestFirst,1//3,2,28.0,31.20096,7.32657
BestFirst,1//3,2,30.0,31.85882,7.92906
BestFirst,1//3,2,32.0,31.9816,8.11741
BestFirst,1//3,2,34.0,32.38272,8.7439
BestFirst,1//3,2,36.0,32.66536,9.234
BestFirst,1//3,2,38.0,32.5392,9.29824
BestFirst,1//3,2,40.0,32.59494,9.46169
BestFirst,1//3,2,42.0,32.64092,9.63267
BestFirst,1//3,2,44.0,32.76716,9.80847
BestFirst,1//3,2,46.0,32.78594,10.48441
BestFirst,1//3,2,48.0,32.83088,11.03814
BestFirst,1//3,2,50.0,32.79042,11.2478
BestFirst,1//3,2,52.0,32.64036,11.89077
BestFirst,1//3,2,54.0,32.80982,12.37686
BestFirst,1//3,2,56.0,32.82118,12.41728
BestFirst,1//3,2,58.0,32.69576,12.60956
BestFirst,1//3,2,60.0,32.78046,12.76749
BestFirst,1//3,2,62.0,32.73644,12.89766
BestFirst,1//3,2,64.0,32.8444,13.29116
BestFirst,1//3,2,66.0,32.77274,13.63273
BestFirst,1//3,2,68.0,32.7941,13.7711
BestFirst,1//3,2,70.0,32.78822,14.19095
BestFirst,1//3,2,72.0,32.85018,14.49543
BestFirst,1//3,2,74.0,32.82152,14.55114
BestFirst,1//3,2,76.0,32.83208,14.74587
BestFirst,1//3,2,78.0,32.81176,14.91246
BestFirst,1//3,2,80.0,32.74006,14.99419
BestFirst,1//3,2,82.0,32.79546,15.21931
BestFirst,1//3,2,84.0,32.81352,15.42269
BestFirst,1//3,2,86.0,32.77856,15.48578
BestFirst,1//3,2,88.0,32.7049,15.65528
BestFirst,1//3,2,90.0,32.83336,15.78266
BestFirst,1//3,2,92.0,32.74796,15.80617
BestFirst,1//3,2,94.0,32.7204,15.87766
BestFirst,1//3,2,96.0,32.83442,15.9323
BestFirst,1//3,2,98.0,32.80984,15.94366
BestFirst,1//3,2,100.0,32.86322,15.97368
BestFirst,1//3,2,102.0,32.8663,16.0
BestFirst,1//3,2,104.0,32.83468,16.0
DepthFirst,1//3,2,0.0,7.06818,0.93533
DepthFirst,1//3,2,2.0,26.08928,6.60278
DepthFirst,1//3,2,4.0,26.3959,7.14798
DepthFirst,1//3,2,6.0,26.74372,7.49384
