model,factor,mult,cost,beta,reward,clicks
Optimal,2//1,1,0.0010000000000000002,21.544346900318835,9.58958,14.55835
Optimal,2//1,1,0.0010000000000000002,46.415888336127786,9.58699,14.60216
Optimal,2//1,1,0.0010000000000000002,100.00000000000004,9.57876,14.55607
Optimal,3//1,1,0.0010000000000000002,0.10000000000000002,13.37725,9.0596
Optimal,3//1,1,0.0010000000000000002,0.21544346900318845,17.24003,11.5124
Optimal,3//1,1,0.0010000000000000002,0.464158883361278,18.74168,12.75177
Optimal,3//1,1,0.0010000000000000002,1.0,19.23564,13.52649
Optimal,3//1,1,0.0010000000000000002,2.154434690031884,19.45048,14.00615
Optimal,3//1,1,0.0010000000000000002,4.641588833612779,19.54185,14.33462
Optimal,3//1,1,0.0010000000000000002,9.999999999999998,19.53776,14.54158
Optimal,3//1,1,0.0010000000000000002,21.544346900318835,19.52952,14.64008
Optimal,3//1,1,0.0010000000000000002,46.415888336127786,19.52549,14.6578
Optimal,3//1,1,0.0010000000000000002,100.00000000000004,19.55815,14.62315
Optimal,1//2,1,0.0010898414799852864,0.10000000000000002,5.46476,5.4689
Optimal,1//2,1,0.0010898414799852864,0.21544346900318845,6.30433,6.85292
Optimal,1//2,1,0.0010898414799852864,0.464158883361278,7.20095,8.83973
Optimal,1//2,1,0.0010898414799852864,1.0,7.82067,10.95773
Optimal,1//2,1,0.0010898414799852864,2.154434690031884,8.16812,12.55079
Optimal,1//2,1,0.0010898414799852864,4.641588833612779,8.29793,13.40104
Optimal,1//2,1,0.0010898414799852864,9.999999999999998,8.32756,13.78073
Optimal,1//2,1,0.0010898414799852864,21.544346900318835,8.34374,13.89797
Optimal,1//2,1,0.0010898414799852864,46.415888336127786,8.34196,13.89195
Optimal,1//2,1,0.0010898414799852864,100.00000000000004,8.35255,13.79239
Optimal,1//3,1,0.0010898414799852864,0.10000000000000002,12.86831,6.28137
Optimal,1//3,1,0.0010898414799852864,0.21544346900318845,14.48736,7.78192
Optimal,1//3,1,0.0010898414799852864,0.464158883361278,15.43324,9.48249
Optimal,1//3,1,0.0010898414799852864,1.0,15.90474,11.22121
Optimal,1//3,1,0.0010898414799852864,2.154434690031884,16.28133,12.59693
Optimal,1//3,1,0.0010898414799852864,4.641588833612779,16.34555,13.35423
Optimal,1//3,1,0.0010898414799852864,9.999999999999998,16.42571,13.68063
Optimal,1//3,1,0.0010898414799852864,21.544346900318835,16.44952,13.8061
Optimal,1//3,1,0.0010898414799852864,46.415888336127786,16.43036,13.77026
