model,factor,mult,cost,reward,clicks
Optimal,3//1,1,0.05462277217684345,19.54634,10.12606
Optimal,1//3,1,0.05994842503189412,16.355,7.20022
Optimal,3//1,1,0.05994842503189412,19.54011,10.13196
Optimal,1//3,1,0.06579332246575685,16.40493,7.18824
Optimal,3//1,1,0.06579332246575685,19.551,10.12301
Optimal,1//3,1,0.07220809018385468,16.37454,7.14908
Optimal,3//1,1,0.07220809018385468,19.51874,10.14118
Optimal,1//3,1,0.07924828983539181,16.35364,6.97481
Optimal,3//1,1,0.07924828983539181,19.56818,10.13208
Optimal,1//3,1,0.0869749002617784,16.36696,6.97752
Optimal,3//1,1,0.0869749002617784,19.54568,10.12136
Optimal,1//3,1,0.09545484566618354,16.32757,6.90225
Optimal,3//1,1,0.09545484566618354,19.49894,9.91563
Optimal,1//3,1,0.10476157527896658,16.38198,6.8939
Optimal,3//1,1,0.10476157527896658,19.50791,9.91005
Optimal,1//3,1,0.11497569953977364,16.36394,6.77018
Optimal,3//1,1,0.11497569953977364,19.46146,9.87639
Optimal,1//3,1,0.12618568830660218,16.33582,6.76802
Optimal,3//1,1,0.12618568830660218,19.50325,9.85258
Optimal,1//3,1,0.13848863713938742,16.3485,6.76428
Optimal,3//1,1,0.13848863713938742,19.48302,9.86363
Optimal,1//3,1,0.15199110829529344,16.32062,6.64311
Optimal,3//1,1,0.15199110829529344,19.45612,9.63905
Optimal,1//3,1,0.16681005372000604,16.35931,6.63116
Optimal,3//1,1,0.16681005372000604,19.45303,9.64478
Optimal,1//3,1,0.18307382802953695,16.32369,6.64212
Optimal,3//1,1,0.18307382802953695,19.47551,9.63062
Optimal,1//3,1,0.20092330025650496,16.37625,6.64253
Optimal,3//1,1,0.20092330025650496,19.47794,9.63175
Optimal,1//3,1,0.22051307399030476,16.30801,6.52876
Optimal,3//1,1,0.22051307399030476,19.46283,9.48799
Optimal,1//3,1,0.24201282647943834,16.24829,6.45218
Optimal,3//1,1,0.24201282647943834,19.44741,9.4999
Optimal,1//3,1,0.2656087782946689,16.19775,5.98415
Optimal,3//1,1,0.2656087782946689,19.44718,9.43609
Optimal,1//3,1,0.29150530628251786,16.12293,5.83869
Optimal,3//1,1,0.29150530628251786,19.41856,9.45571
Optimal,1//3,1,0.31992671377973875,16.1368,5.79972
Optimal,3//1,1,0.31992671377973875,19.37864,9.20439
Optimal,1//3,1,0.35111917342151344,16.1097,5.80261
Optimal,3//1,1,0.35111917342151344,19.36841,9.17756
Optimal,1//3,1,0.3853528593710535,16.01987,5.48902
Optimal,3//1,1,0.3853528593710535,19.3616,9.18998
Optimal,1//3,1,0.42292428743895033,15.97661,5.40561
Optimal,3//1,1,0.42292428743895033,19.22572,8.90981
Optimal,1//3,1,0.46415888336127825,15.82606,5.1891
Optimal,3//1,1,0.46415888336127825,19.12847,8.68955
Optimal,1//3,1,0.5094138014816386,15.80074,5.1307
Optimal,3//1,1,0.5094138014816386,19.00068,8.40136
Optimal,1//3,1,0.5590810182512229,15.6378,4.68785
Optimal,3//1,1,0.5590810182512229,18.98108,8.42558
Optimal,1//3,1,0.6135907273413183,15.36902,4.30617
Optimal,3//1,1,0.6135907273413183,19.00057,8.4241
Optimal,1//3,1,0.673415065775083,14.65598,3.20574
Optimal,3//1,1,0.673415065775083,18.85991,8.22048
