wid,model,nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w353ba70,BreadthFirst,177.31154035751348,2.9859696799548726e-13,0.12854562223642443,1.540069172404183,1.3008081511904916e-17,3.66589512635412e-16,0.07697260842110933,5.596339736142259,0.1384341212210227
w3577f1b,BreadthFirst,261.5604696415598,3.4816858586374435,2.9999999999999996,0.2767831578407655,4.6377279543503724e-14,0.052590756722590774,0.1940630922762617,5.881340116712007,0.0010000000000000002
w41284a9,BreadthFirst,288.4108074524912,1.3418808745743072,1.4763183853155164,0.22511732826808856,1.1674224384599969e-11,0.028793297429892593,0.16001833357208034,29.999999999999996,0.0010000000000000002
w4cc191d,BreadthFirst,211.50285475102692,4.242362266794042e-14,2.9999999999999947,1.750111007518479,5.515688269750202e-13,1.610958854994345e-20,0.3063367127753344,15.010883874546703,0.0010000000000000698
w511d3a1,BreadthFirst,281.1710859906184,2.108363911568559e-14,0.29915100077698775,0.2562751350296218,29.999999999999904,5.402320194544281e-17,0.32315378368961417,1.0756531160232201,0.02504745897674069
w52faa3e,BreadthFirst,274.97046028444004,1.5677085211156424e-12,2.9999999999999996,1.8386815697532235,29.999999999999844,0.03328997613229976,1.9275638814858376,2.4970137251802713,0.15607956462518616
w5310e61,BreadthFirst,229.9372057084659,4.389086161106926e-14,0.6946859751575468,0.4790250666272132,1.989320172792545e-11,2.8647612922304476e-16,0.19377387428144408,22.458371519209674,0.0010000000000003992
w5387968,BreadthFirst,282.9908677218608,0.15081767846754396,1.1939357896761655,0.2162155304333074,5.471422642092495e-12,0.041244962652256745,0.058913481703897076,29.99999999998968,0.0010000000000003877
w560b89c,BreadthFirst,251.4185408694869,0.08062917135618713,2.9999999999995834,0.059890213835648916,29.99999999999006,1.5556452849508816e-17,0.5669626130976808,7.073697970234313e-13,0.21118765308028678
w56b4fe0,BreadthFirst,140.28870832171037,7.615682572731877e-13,2.9999999999999996,0.43469152159796276,1.6654181744997677e-12,2.274480504109584e-17,0.022778233089418877,12.603754626479695,0.0010000000000024492
w5bb42cf,BreadthFirst,112.81922405366376,4.4171439726972384e-16,2.99999999999998,0.7250096572250606,3.4491718768287956e-12,9.334287179723138e-17,1.6500340464673007e-17,6.446533566988556,0.0010000000000004378
w5cb6d34,BreadthFirst,264.6722199170466,3.8200185846356343,2.9999999999999996,0.2543406075772066,7.16147246769539e-18,7.538255061712578e-19,0.11965335574994647,2.0106688234257667e-15,0.0010000000000000007
w5f2e05f,BreadthFirst,215.61744943818317,8.808417925616712e-16,2.1968560619426714,1.3957308060846587,2.922408396060826e-11,1.5781485856266222e-22,0.637162327578627,17.582239534259767,0.029373823013693144
