wid,model,fold,train_nll,test_nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w1709267,BestFirst,3,166.53885910801742,38.764789592427846,4.580593969072702e-16,0.5982617495353968,0.34823628435412063,2.3233311472548965e-14,0.26706547964076965,0.16931466103485235,29.999999999999986,0.001000000000000039
w1709267,BestFirst,4,157.03780198876106,50.671042204607126,2.599690938543187e-16,0.7862998876735544,0.4544041078902739,1.5258917251164168e-13,0.24749535039564968,0.06995675083494175,24.49417607667289,0.0010000000000000744
w1709267,BestFirst,5,173.81573909368572,31.63150160446364,1.996455649973731e-15,0.7899454044305938,0.2964123828224238,6.915223924062576,0.25456295363042153,0.18256236060883813,29.99999999999871,0.0010000000000004242
w1bbb0ad,BestFirst,1,119.45612669789011,21.819089882311538,1.3257383893396394e-18,2.9999999999999996,0.5678515971165982,8.294927219935221e-17,0.3321183171187504,0.2863626190694266,27.862943884726196,0.017541661807021477
w1bbb0ad,BestFirst,2,114.39552314968333,26.960551450074828,6.59883687615835e-13,0.22252617264134886,0.34280751760906186,3.2423680394170284e-13,0.3188720934313978,0.15168786924743746,18.584271137216845,0.0010000000000000002
w1bbb0ad,BestFirst,3,110.986695784738,34.69461450376573,1.178042816012264e-23,0.5965879409953191,1.6233065311788055,2.4472260880789266e-16,0.3118081112920555,0.20877061138560676,12.403508124866274,0.020794840535051567
w1bbb0ad,BestFirst,4,106.89535457348337,35.06042592426451,4.347773467776284e-14,2.0696010407882532,0.5039763399356897,3.008384333531136e-15,0.3256871187860909,0.2558785707304043,25.362976266261374,0.0010000000000000002
w1bbb0ad,BestFirst,5,106.75239603908621,34.52400373319855,3.226180328362645e-13,1.1015779264131458,0.3431480847827356,1.002435204849469e-12,0.32529705616482907,0.13485031019424448,21.744638410016773,0.001000000000000575
w20c5bf9,BestFirst,1,89.25332453032084,28.303698941321723,1.8696559626821212,2.9999999999999996,0.25127200943272476,3.288870793785392e-12,0.4136324962391596,0.12584011259721176,8.46187458529388e-14,0.0010000000000006575
w20c5bf9,BestFirst,2,97.03074662166422,20.166883548110352,1.9450897661314699,2.9999999999999996,0.1720130589359043,4.501507672800209e-13,0.39478767583147395,0.16798557881273454,6.711770308867143e-13,0.0010000000000001078
w20c5bf9,BestFirst,3,96.10506296401276,21.055467779497896,1.8452688126052608,2.9999999999999996,0.24240059282189047,1.2834620901583917,0.3639581993732496,0.18857702194001802,1.6980355417220765,0.0010000000000000002
w20c5bf9,BestFirst,4,95.5693291845483,21.54678715616515,1.9898793759442233,2.9999999999999996,0.2904754385186807,2.28992303959917e-15,0.361712441287617,0.16250025666615842,1.1250086236758902e-15,0.0010000000000000453
w20c5bf9,BestFirst,5,88.93479290410033,28.522101117224853,2.1325745630100896,2.9999999999999996,0.2342216289723421,1.2746645069719932e-15,0.3809865436716477,0.21176364476450432,1.2301830934711453e-12,0.0010000000000000295
w230c19e,BestFirst,1,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w230c19e,BestFirst,2,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w230c19e,BestFirst,3,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w230c19e,BestFirst,4,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w230c19e,BestFirst,5,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w24fe8f8,BestFirst,1,141.0048786490472,42.6674264331076,9.389427819268723e-13,1.127906291046963,0.2889008188416687,6.2813706703554075,0.23387205374652492,0.2521884046086561,29.999999999991584,0.0010000000000000002
w24fe8f8,BestFirst,2,145.33218614755378,38.99053152635431,2.291027455819115e-13,1.7396711537804623,0.2677972689544418,29.999999999999247,0.21721618272219018,0.32784354340167876,10.771161461731618,0.0010000000000000002
w24fe8f8,BestFirst,3,155.37371092608157,30.35834753852969,3.9999999999998033,2.9999999999999867,0.3248070140999265,2.130854997232886e-11,0.21033783215750146,0.32090613913974964,8.359980715027126,0.0010000000000000002
w24fe8f8,BestFirst,4,136.56185505269485,47.2706883658968,3.8943544716994166e-17,1.6491042372919436,0.2910833906829136,25.346672810640392,0.25652468797660133,0.31561407669089253,14.97980540017028,0.0010000000000000002
w24fe8f8,BestFirst,5,150.61173441350616,32.98722467929209,1.7129113351387104,2.2379365005856657,0.28800385228742137,29.99999999978208,0.25558327659756463,0.30925833591324375,9.431164968942839e-15,0.0010000000000000128
w27225aa,BestFirst,1,102.7714731057618,47.72774115609434,3.518933404139676,2.816445856361864,0.2362293124816605,1.6465508106343662e-12,0.7591637097244522,0.2958414305858127,2.449951523832495e-13,0.027207916220861862
w27225aa,BestFirst,2,120.94575108195316,27.191405496477906,3.00688754003463,2.6815739853696257,0.19233285604743444,2.5489614933752524e-12,0.6223171339130689,0.1962453954877201,4.400270082319849e-12,0.01696111873853936
w27225aa,BestFirst,3,119.11275777487894,29.691814938871023,2.0466642065066776e-13,2.0990508192828523,0.3155149847546222,2.021638745011793e-15,0.4269897152106355,0.17578412875794114,23.34225068342068,0.0010000000000031956
w27225aa,BestFirst,4,124.0241626474965,23.666904747027104,3.158921483168195,2.5635127635735566,0.20855273295208912,6.0998379115737015e-15,0.49358325074558607,0.19521997022460544,1.3650061984263122e-13,0.023547316063908936
w27225aa,BestFirst,5,118.42621137827213,30.027854294793034,3.0551141211292094,2.9999999999999996,0.29456961513975827,6.149259875412662e-17,0.41368332188986895,0.18304778481072181,7.479508675951061e-15,0.0010000000000000002
