wid,model,fold,train_nll,test_nll,cost,β,ε
w24fe8f8,Optimal,1,141.31744574023412,39.950206398886095,0.26661043,13.539899466777035,3.04609391079434e-19
w24fe8f8,Optimal,2,147.34185922862255,34.21265878674089,0.26661043,12.582147304333098,8.751725182356242e-17
w24fe8f8,Optimal,3,141.16697411950136,42.642171730300205,0.11437207,49.99999999999999,0.0570213915354302
w24fe8f8,Optimal,4,137.36384484623068,44.69189840143237,0.13546635,49.999999999998366,0.10610441247732638
w24fe8f8,Optimal,5,155.32806286722544,26.041396153525913,0.26661043,12.990479202755791,1.514359414441281e-16
w27225aa,Optimal,1,113.45415325338213,42.65491831336457,1.22315077,6.754205354750104,0.06675262063726484
w27225aa,Optimal,2,132.25319237710832,23.58106984102908,1.22315077,6.842896782612753,0.10716509692648869
w27225aa,Optimal,3,126.30117345347816,29.58471864310923,1.22315077,5.9117717479382055,0.0873079320526117
w27225aa,Optimal,4,130.64423353272724,25.285882736588317,1.22315077,6.383785120214343,0.11150820759903023
w27225aa,Optimal,5,119.58932357282319,36.34179866338056,1.22315077,7.265165392657346,0.08604003418047089
w29cdd9f,Optimal,1,5.1269609004232315,53.5203268542379,4.0,16.377378248888657,6.163173099460671e-21
w29cdd9f,Optimal,2,15.735547472037258,0.8925742052573362,100.0,24.999999751904305,0.2500000000001244
w29cdd9f,Optimal,3,15.735547472037258,0.8925742052573362,100.0,24.999999751904305,0.2500000000001244
w29cdd9f,Optimal,4,12.628288822475152,3.91952207906091,100.0,24.999999759146565,0.19736842126101167
w29cdd9f,Optimal,5,15.735547472037258,0.8925742052573362,100.0,24.999999751904305,0.2500000000001244
w2b6ff87,Optimal,1,146.14233563567882,34.85858901725055,1.03268665,11.616477056430268,0.3145895531895131
w2b6ff87,Optimal,2,129.52765770165027,52.26476512935663,1.03268665,7.768604886460688,0.2476092020868577
w2b6ff87,Optimal,3,148.7159727282877,32.64071689543738,1.03268665,14.248259727505252,0.3108170798973518
w2b6ff87,Optimal,4,132.14837031871448,49.05060892100255,1.03268665,11.722984969041669,0.2781336203606883
w2b6ff87,Optimal,5,165.69131126803148,15.835105304022933,1.03268665,9.161281829831154,0.34902888285699
w2d73732,Optimal,1,140.5962882000305,38.047969295712896,1.03268665,3.4944824194627446,7.82744931240205e-19
w2d73732,Optimal,2,127.28695197599383,47.649101385695545,1.03268665,13.348947208185576,0.17160559202653541
w2d73732,Optimal,3,147.36671792089908,25.73591331690863,1.03268665,3.9362872473860926,0.07619229565422338
w2d73732,Optimal,4,134.18112604313617,38.76521333633866,1.03268665,7.4523973370029974,0.1254228845283921
w2d73732,Optimal,5,135.58541002899545,37.027334379183415,1.03268665,4.890937680615989,0.0776083125461339
w2f752f8,Optimal,1,124.7840528993569,43.29570994072842,0.73611507,49.99999999999999,0.29105141938922313
w2f752f8,Optimal,2,136.055399533848,28.536003813761376,1.22315077,5.701013100874129,0.21170696560346436
